User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,User-City,User-State,User-Country,User-Age,Series-Title,Genre
276744,038550120X,7,A Painted House,JOHN GRISHAM,2001,Doubleday,torrance, california,United States,33.0,painted house,Fiction
276788,0345443683,8,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books,mentone, california,United States,33.0,vampire chronicles,Horror
276788,043935806X,7,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,mentone, california,United States,33.0,harry potter,Fantasy
276796,0330332775,5,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),manchester, england,United Kingdom,21.0,bridget jones,Romance
276798,3548603203,6,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg,mannheim, baden-wuerttemberg,Germany,31.0,artemis fowl,Fantasy
276804,0440498058,8,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling,st. louis, missouri,United States,14.0,wrinkle in time,Science Fiction
276813,8426449476,8,El Diaro De Bridget Jones,Helen Fielding,1996,Lumen Espana,sitges, barcelona,Spain,29.0,bridget jones,Romance
276822,0689804458,8,A String in the Harp,Nancy Bond,1996,Aladdin,calgary, alberta,Canada,11.0,ring,Fantasy
276822,0786817070,10,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids,calgary, alberta,Canada,11.0,artemis fowl,Fantasy
276847,3423071516,10,Der Kleine Hobbit,J. R. R. Tolkien,2002,Distribooks,köln, nordrhein-westfalen,Germany,27.0,hobbit,Fantasy
276847,3551551677,10,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999,Carlsen Verlag GmbH,köln, nordrhein-westfalen,Germany,27.0,harry potter,Fantasy
276847,3551551685,10,Harry Potter und die Kammer des Schreckens,Joanne K. Rowling,2000,Carlsen Verlag GmbH,köln, nordrhein-westfalen,Germany,27.0,harry potter,Fantasy
276847,3551551693,10,Harry Potter und der Gefangene von Azkaban,J. K. Rowling,1999,Carlsen Verlag GmbH,köln, nordrhein-westfalen,Germany,27.0,harry potter,Fantasy
276847,3551551936,10,Harry Potter Und Der Feuerkelch,Joanne K. Rowling,1999,Carlsen Verlag GmbH,köln, nordrhein-westfalen,Germany,27.0,harry potter,Fantasy
276887,0812533550,9,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1986,Tor Books,arlington, massachusetts,United States,33.0,ender's game (ender wiggins saga (paperback)),Science Fiction
276896,0440241537,10,The King of Torts,JOHN GRISHAM,2003,Dell,mena, arkansas,United States,14.0,king of torts,Legal Thriller
276925,0385504209,8,The Da Vinci Code,Dan Brown,2003,Doubleday,barcelona, barcelona,Spain,22.0,da vinci code,Thriller
276925,063403541X,6,Bridget Jones's Diary: Music from the Motion Picture,Various,2001,Hal Leonard Publishing Corporation,barcelona, barcelona,Spain,22.0,bridget jones,Romance
276957,0312966970,6,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks,iowa city, iowa,United States,33.0,stephanie plum,Mystery
276964,0440220602,9,The Chamber,John Grisham,1995,Dell Publishing Company,villa ridge, missouri,United States,34.0,chamber,Thriller
276964,0812550307,10,"The Fires of Heaven (The Wheel of Time, Book 5)",Robert Jordan,1994,Tor Fantasy,villa ridge, missouri,United States,34.0,wheel of time,Fantasy
276988,0061083259,7,Dreamcatcher,Dinah McCall,1996,HarperTorch,sarnia, ontario,Canada,33.0,dreamcatcher,Horror
277036,0812511816,9,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,Tor Fantasy,lisboa, lisboa,Portugal,21.0,wheel of time,Fantasy
277042,0446605484,7,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,hiram, georgia,United States,33.0,alex cross,Thriller
277042,074343627X,8,Dreamcatcher,Stephen King,2001,Pocket,hiram, georgia,United States,33.0,dreamcatcher,Horror
277042,0971880107,2,Wild Animus,Rich Shapero,2004,Too Far,hiram, georgia,United States,33.0,wild animus,Fiction
277085,0434009407,8,Hannibal,Thomas Harris,0,William Heinemann Ltd(england,sydney, australian capital territory,Australia,25.0,hannibal,Thriller
277124,0440241073,9,The Summons,John Grisham,2002,Dell Publishing Company,, ,Canada,33.0,summons,Thriller
277157,0743486226,7,Angels & Demons,Dan Brown,2003,Atria,garden grove, california,United States,70.0,angels & demons,Thriller
277195,0330332775,10,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK),san francisco, california,United States,54.0,bridget jones,Romance
277195,0671021001,10,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket,san francisco, california,United States,54.0,she's come undone (oprah's book club),Fiction
277195,0671647458,10,Color Purple,Alice Walker,1987,Pocket,san francisco, california,United States,54.0,color purple,Historical Fiction
277197,0316969680,8,The Beach House,James Patterson,2002,"Little, Brown",allendale, michigan,United States,33.0,beach house,Fiction
277205,0671664964,7,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1988,Pocket,toronto, ontario,Canada,25.0,hitchhiker's guide to the galaxy,Science Fiction
277212,044023722X,8,A Painted House,John Grisham,2001,Dell Publishing Company,framingham, massachusetts,United States,33.0,painted house,Fiction
277246,0452282152,10,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,skillman, new jersey,United States,33.0,ring,Fantasy
277261,0440241073,7,The Summons,John Grisham,2002,Dell Publishing Company,oberschleissheim, bayern,Germany,24.0,summons,Thriller
277315,0060976845,5,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,bloomingont, indiana,United States,33.0,little altars everywhere: a novel,Fiction
277363,0156027321,8,Life of Pi,Yann Martel,2003,Harvest Books,norcross, georgia,United States,34.0,life of pi,Fiction
277378,0312195516,7,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,vancouver, british columbia,Canada,33.0,red tent (bestselling backlist),Historical Fiction
277378,0446608955,4,A Walk to Remember,Nicholas Sparks,2000,Warner Books,vancouver, british columbia,Canada,33.0,walk to remember,Romance
277378,0670892963,7,Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books,vancouver, british columbia,Canada,33.0,bridget jones,Romance
277427,0061009059,9,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,gilbert, arizona,United States,48.0,stephanie plum,Mystery
277427,0385424736,9,The Rainmaker,John Grisham,1995,Doubleday Books,gilbert, arizona,United States,48.0,rainmaker,Legal Thriller
277427,0385504209,8,The Da Vinci Code,Dan Brown,2003,Doubleday,gilbert, arizona,United States,48.0,da vinci code,Thriller
